leader,ccode,start_year,end_year,idacr,qid,source,wiki_title
Berisha,339,1992,1997,ALB,Q57625,direct,Sali Berisha
Fatos Nano,339,1997,1998,ALB,Q311596,direct,Fatos Nano
Majko,339,1998,1999,ALB,Q381214,direct,Pandeli Majko
Majko,339,2002,2002,ALB,Q381214,direct,Pandeli Majko
Fatos Nano,339,2002,2005,ALB,Q311596,direct,Fatos Nano
Nikola Kljusev,343,1991,1992,MAC,Q1990673,fuzzy,
Radmila Sekerinska,343,2004,2004,MAC,Q162983,fuzzy,
Radmila Sekerinska,343,2004,2004,MAC,Q162983,fuzzy,
Gruevski,343,2006,2014,MAC,Q57766,fuzzy,
Kolinda Grabar-Kitarovic,344,2015,2015,CRO,Q3176299,fuzzy,
Tito,345,1945,1980,YUG,Q9161,direct,Josip Broz Tito
Kolisevski,345,1980,1980,YUG,Q470687,fuzzy,
Svetozar Marovic,345,2003,2006,YUG,Q431413,fuzzy,
Jelavic,346,1999,2000,BOS,Q355737,fuzzy,
Borislav Paravac,346,2003,2003,BOS,Q470649,fuzzy,
Dragan Covic,346,2003,2004,BOS,Q559756,fuzzy,
Sulejman Tihic,346,2004,2004,BOS,Q361173,fuzzy,
Borislav Paravac,346,2004,2005,BOS,Q470649,fuzzy,
Sulejman Tihic,346,2006,2006,BOS,Q361173,fuzzy,
Zeljko Komsic,346,2007,2008,BOS,Q297825,fuzzy,
Silajdzic,346,2008,2008,BOS,Q57381,fuzzy,
Zeljko Komsic,346,2009,2010,BOS,Q297825,fuzzy,
Silajdzic,346,2010,2010,BOS,Q57381,fuzzy,
Zeljko Komsic,346,2011,2014,BOS,Q297825,fuzzy,
Bakir Izetbegovic,346,2014,2014,BOS,Q312355,fuzzy,
Dragan Covic,346,2015,2015,BOS,Q559756,fuzzy,
Bajuk,349,2000,2000,SLV,Q434177,direct,Andrej Bajuk
Anton Rop,349,2002,2004,SLV,Q464922,direct,Anton Rop
Borut Pahor,349,2008,2012,SLV,Q206471,fuzzy,
Janez Jansa,349,2012,2013,SLV,Q57627,fuzzy,
Bratusek,349,2013,2014,SLV,Q3739767,fuzzy,
Plastiras,350,1945,1945,GRC,Q449445,direct,Nikolaos Plastiras
Voulgaris,350,1945,1945,GRC,Q1258656,direct,Petros Voulgaris
Damaskinos,350,1945,1945,GRC,Q31280,fuzzy,
Poulitsas,350,1946,1946,GRC,Q1392087,fuzzy,
Diomidis,350,1949,1950,GRC,Q589978,direct,Alexandros Diomidis
Theotokis,350,1950,1950,GRC,Q708300,fuzzy,
Plastiras,350,1950,1950,GRC,Q449445,direct,Nikolaos Plastiras
Plastiras,350,1951,1952,GRC,Q449445,direct,Nikolaos Plastiras
Kiousopoulos,350,1952,1952,GRC,Q707209,direct,Dimitrios Kiousopoulos
Papagos,350,1952,1955,GRC,Q312046,redirect,Alexander Papagos
Karamanlis,350,1955,1958,GRC,Q156806,fuzzy,
Georgakopoulos,350,1958,1958,GRC,Q728887,fuzzy,
Karamanlis,350,1958,1961,GRC,Q156806,fuzzy,
Karamanlis,350,1961,1963,GRC,Q156806,fuzzy,
Pipinelis,350,1963,1963,GRC,Q1371543,fuzzy,
Mavromichalis,350,1963,1963,GRC,Q181606,direct,Stylianos Mavromichalis
Tsirimokos,350,1965,1965,GRC,Q1371474,fuzzy,
Papadopoulos,350,1967,1973,GRC,Q156505,direct,Georgios Papadopoulos
Karamanlis,350,1974,1980,GRC,Q156806,fuzzy,
Georgios Rallis,350,1980,1981,GRC,Q252657,redirect,George Rallis
A. Papandreou,350,1981,1989,GRC,Q219256,direct,Andreas Papandreou
Tzannetakis,350,1989,1989,GRC,Q316235,fuzzy,
Zolotas,350,1989,1990,GRC,Q318009,direct,Xenophon Zolotas
Mitsotakis,350,1990,1993,GRC,Q552751,fuzzy,
A. Papandreou,350,1993,1995,GRC,Q219256,direct,Andreas Papandreou
Konstantinos Karamanlis,350,2004,2009,GRC,Q156806,fuzzy,
Georgios Papandreou,350,2009,2011,GRC,Q311207,fuzzy,
Panagiotis Pikrammenos,350,2012,2012,GRC,Q318492,fuzzy,
Alexis Tsipras,350,2015,2015,GRC,Q312015,fuzzy,
Makarios,352,1960,1974,CYP,Q153509,direct,Makarios III
Makarios,352,1974,1977,CYP,Q153509,direct,Makarios III
Kyprianou,352,1977,1988,CYP,Q552389,direct,Spyros Kyprianou
Tassos Nikolaou Papadopoulos,352,2003,2008,CYP,Q200776,fuzzy,
Dimitris Christofias,352,2008,2013,CYP,Q57334,fuzzy,
Georgi Dimitrov,355,1946,1949,BUL,Q155074,fuzzy,
Zhivkov,355,1956,1989,BUL,Q28517,direct,Todor Zhivkov
Mladenov,355,1989,1990,BUL,Q81144,direct,Petar Mladenov
Filip Dimitrov,355,1991,1992,BUL,Q473526,fuzzy,
Indzhova,355,1994,1995,BUL,Q271473,direct,Reneta Indzhova
Stanishev,355,2005,2009,BUL,Q202117,fuzzy,
Boyko Borisov,355,2009,2013,BUL,Q57775,fuzzy,
Boyko Borisov,355,2014,2015,BUL,Q57775,fuzzy,
Lucinschi,359,1997,2001,MLD,Q355874,direct,Petru Lucinschi
Pirlog,359,2009,2009,MLD,Q1371619,fuzzy,
Vlad Filat,359,2009,2013,MLD,Q57685,fuzzy,
Iurie Leanca,359,2013,2015,MLD,Q58087,fuzzy,
Chiril Gaburici,359,2015,2015,MLD,Q19281444,fuzzy,
Natalia Gherman,359,2015,2015,MLD,Q6968023,fuzzy,
Valeriu Strelet,359,2015,2015,MLD,Q7911417,fuzzy,
Stolojan,360,1991,1992,RUM,Q126660,fuzzy,
Ciorbea,360,1996,1998,RUM,Q370856,fuzzy,
Vasile,360,1998,1999,RUM,Q352004,fuzzy,
Eugen Bejinariu,360,2004,2004,RUM,Q1957518,fuzzy,
Crin Antonescu,360,2012,2012,RUM,Q440970,fuzzy,
Chernenko,365,1984,1985,RUS,Q127442,direct,Konstantin Chernenko
Gorbachev,365,1985,1991,RUS,Q30487,direct,Mikhail Gorbachev
Yeltsin,365,1991,1999,RUS,Q34453,direct,Boris Yeltsin
Putin,365,2000,2015,RUS,Q7747,direct,Vladimir Putin
Laar,366,1992,1994,EST,Q307473,direct,Mart Laar
Laar,366,1999,2002,EST,Q307473,direct,Mart Laar
Roivas,366,2014,2015,EST,Q3785077,fuzzy,
Godmanis,367,1990,1993,LAT,Q210822,direct,Ivars Godmanis
Birkavs,367,1993,1994,LAT,Q960031,fuzzy,
Indulis Emsis,367,2004,2004,LAT,Q540255,fuzzy,
Aigars Kalvitis,367,2004,2007,LAT,Q210715,fuzzy,
Dombrovskis,367,2009,2014,LAT,Q57630,fuzzy,
Landsbergis,368,1990,1992,LIT,Q164582,fuzzy,
Brazauskas,368,1992,1998,LIT,Q212751,fuzzy,
Adamkus,368,1998,2003,LIT,Q153167,direct,Valdas Adamkus
Paksas,368,2003,2004,LIT,Q296956,direct,Rolandas Paksas
Grybauskaite,368,2009,2015,LIT,Q57379,fuzzy,
Kravchuk,369,1990,1994,UKR,Q189732,direct,Leonid Kravchuk
Kuchma,369,1994,2005,UKR,Q629702,direct,Leonid Kuchma
Yanukovych,369,2010,2014,UKR,Q16054880,fuzzy,
Oleksandr Turchynov,369,2014,2014,UKR,Q15850,fuzzy,
Petro Poroshenko,369,2014,2015,UKR,Q58077,fuzzy,
Lukashenko,370,1994,2015,BLR,Q2866,direct,Alexander Lukashenko
Ter-Petrosyan,371,1991,1998,ARM,Q612949,fuzzy,
Kocharian,371,1998,2008,ARM,Q613051,direct,Robert Kocharyan
Gamsakhurdia,372,1991,1992,GRG,Q218435,direct,Zviad Gamsakhurdia
Ioseliani,372,1992,1992,GRG,Q969062,fuzzy,
Shevardnadze,372,1992,2003,GRG,Q151929,direct,Eduard Shevardnadze
Burdjanadze,372,2003,2004,GRG,Q229493,direct,Nino Burjanadze
Saakashvili,372,2004,2007,GRG,Q43330,direct,Mikheil Saakashvili
H. Aliyev,373,1993,2003,AZE,Q157451,direct,Heydar Aliyev
Ilhma Aliyev,373,2003,2015,AZE,Q57371,direct,Ilham Aliyev
Paasikivi,375,1946,1956,FIN,Q202171,direct,Juho Kusti Paasikivi
Kekkonen,375,1956,1981,FIN,Q179858,direct,Urho Kekkonen
Koivisto,375,1981,1994,FIN,Q29021,direct,Mauno Koivisto
Marthi Ahtisaari,375,1994,2000,FIN,Q29230,direct,Martti Ahtisaari
Halonen,375,2000,2012,FIN,Q29213,direct,Tarja Halonen
Sauli Niinistö,375,2012,2015,FIN,Q29207,fuzzy,
Erlander,380,1946,1969,SWD,Q53707,direct,Tage Erlander
Palme,380,1969,1976,SWD,Q53713,direct,Olof Palme
Ullsten,380,1978,1979,SWD,Q53733,direct,Ola Ullsten
Palme,380,1982,1986,SWD,Q53713,direct,Olof Palme
Carlsson,380,1986,1991,SWD,Q53740,direct,Ingvar Carlsson
Bildt,380,1991,1994,SWD,Q52922,direct,Carl Bildt
Carlsson,380,1994,1996,SWD,Q53740,direct,Ingvar Carlsson
Reinfeldt,380,2006,2014,SWD,Q52920,fuzzy,
Stefan Löfven,380,2014,2015,SWD,Q2740012,fuzzy,
Nygaardsvold,385,1945,1945,NOR,Q317659,fuzzy,
Gerhardsen,385,1945,1951,NOR,Q164346,direct,Einar Gerhardsen
Gerhardsen,385,1955,1963,NOR,Q164346,direct,Einar Gerhardsen
Gerhardsen,385,1963,1965,NOR,Q164346,direct,Einar Gerhardsen
Borten,385,1965,1971,NOR,Q380659,direct,Per Borten
Korvald,385,1972,1973,NOR,Q317412,direct,Lars Korvald
Nordli,385,1976,1981,NOR,Q337295,direct,Odvar Nordli
Brundtland,385,1981,1981,NOR,Q133009,direct,Gro Harlem Brundtland
Brundtland,385,1986,1989,NOR,Q133009,direct,Gro Harlem Brundtland
Syse,385,1989,1990,NOR,Q311421,direct,Jan P. Syse
Brundtland,385,1990,1996,NOR,Q133009,direct,Gro Harlem Brundtland
Bondevik,385,1997,1998,NOR,Q207655,direct,Kjell Magne Bondevik
Bondevik,385,1998,2000,NOR,Q207655,direct,Kjell Magne Bondevik
Stoltenberg,385,2000,2001,NOR,Q57665,fuzzy,
Bondevik,385,2001,2005,NOR,Q207655,direct,Kjell Magne Bondevik
Stoltenberg,385,2005,2013,NOR,Q57665,fuzzy,
Buhl,390,1945,1945,DEN,Q664052,direct,Vilhelm Buhl
Kristensen,390,1945,1947,DEN,Q1335084,direct,Knud Kristensen
Hedtoft,390,1947,1950,DEN,Q503087,direct,Hans Hedtoft
Eriksen,390,1950,1953,DEN,Q710950,direct,Erik Eriksen
Hedtoft,390,1953,1955,DEN,Q503087,direct,Hans Hedtoft
Hansen,390,1955,1960,DEN,Q721358,direct,H. C. Hansen
Kampmann,390,1960,1962,DEN,Q918287,direct,Viggo Kampmann
Krag,390,1962,1968,DEN,Q441330,direct,Jens Otto Krag
Baunsgaard,390,1968,1971,DEN,Q727237,direct,Hilmar Baunsgaard
Krag,390,1971,1972,DEN,Q441330,direct,Jens Otto Krag
Hartling,390,1973,1975,DEN,Q348901,direct,Poul Hartling
Nyrup Rasmussen,390,1993,2001,DEN,Q311063,direct,Poul Nyrup Rasmussen
Fogh Rasmussen,390,2001,2009,DEN,Q46052,direct,Anders Fogh Rasmussen
Lars Løkke Rasmussen,390,2009,2011,DEN,Q182397,fuzzy,
Thorning-Schmidt,390,2011,2015,DEN,Q57652,fuzzy,
Lars Løkke Rasmussen,390,2015,2015,DEN,Q182397,fuzzy,
Benediktsson,395,1963,1970,ICE,Q360353,direct,Bjarni Benediktsson
Thoroddsen,395,1980,1983,ICE,Q984037,direct,Gunnar Thoroddsen
Halldor Asgrimsson,395,2004,2006,ICE,Q208879,fuzzy,
Sigurdardottir,395,2009,2013,ICE,Q57772,fuzzy,
Pires,402,1975,1991,CAP,Q107431,direct,Pedro Pires
Correia Seabra,404,2003,2003,GNB,Q715042,fuzzy,
Henrique Pereira Rosa,404,2003,2005,GNB,Q286130,fuzzy,
Raimundo Pereira,404,2012,2012,GNB,Q314538,fuzzy,
Mamadu Ture Kuruma,404,2012,2012,GNB,Q3075634,fuzzy,
Manuel Serifo Nhamadjo,404,2012,2014,GNB,Q57424,fuzzy,
Bonifacio Ondo Edu,411,1963,1968,EQG,Q732636,fuzzy,
Nguema Mbasogo,411,1979,2015,EQG,Q57385,fuzzy,
Jawara,420,1965,1994,GAM,Q312716,fuzzy,
Jammeh,420,1994,2015,GAM,Q57356,direct,Yahya Jammeh
Traore,432,1968,1991,MLI,Q100280563,fuzzy,
Amadou Sanogo,432,2012,2012,MLI,Q372679,fuzzy,
Dioncounda Traore,432,2012,2013,MLI,Q372780,fuzzy,
Ibrahim Boubacar Keita,432,2013,2015,MLI,Q324108,fuzzy,
Diouf,433,1981,2000,SEN,Q219728,direct,Abdou Diouf
Abdoulaye Wade,433,2000,2012,SEN,Q106963,fuzzy,
Maga,434,1960,1963,BEN,Q336242,direct,Hubert Maga
Soglo,434,1963,1964,BEN,Q336218,fuzzy,
Congacou,434,1965,1965,BEN,Q888596,fuzzy,
Soglo,434,1965,1967,BEN,Q336218,fuzzy,
Kouandete,434,1969,1969,BEN,Q888400,fuzzy,
Paul-Emile de Souza,434,1969,1970,BEN,Q881211,fuzzy,
Maga,434,1970,1972,BEN,Q336242,direct,Hubert Maga
Ahomadegbe,434,1972,1972,BEN,Q438852,fuzzy,
Yayi Boni,434,2006,2015,BEN,Q29196,fuzzy,
Ould Daddah,435,1960,1978,MAA,Q345385,direct,Moktar Ould Daddah
Ould Mohamed Vall,435,2005,2007,MAA,Q451521,fuzzy,
Diori,436,1960,1974,NIR,Q314355,direct,Hamani Diori
Mamadou Tandja,436,1999,2010,NIR,Q220227,fuzzy,
Issoufou,436,2011,2015,NIR,Q1674799,fuzzy,
Laurent Gbagbo,437,2000,2011,CDI,Q179242,direct,Laurent Gbagbo
Ouattara,437,2011,2015,CDI,Q57413,fuzzy,
Beavogui,438,1984,1984,GUI,Q718245,fuzzy,
Sompare,438,2008,2008,GUI,Q323086,fuzzy,
Dadis Camara,438,2008,2009,GUI,Q314271,fuzzy,
Sekouba Konate,438,2009,2010,GUI,Q718230,fuzzy,
Lamizana,439,1966,1971,BFO,Q529272,fuzzy,
Gerard Kango Ouedraogo,439,1971,1974,BFO,Q605414,fuzzy,
Lamizana,439,1974,1980,BFO,Q529272,fuzzy,
Sankara,439,1983,1987,BFO,Q202155,direct,Thomas Sankara
Roch Marc Christian Kabore,439,2015,2015,BFO,Q599988,fuzzy,
Doe,450,1980,1990,LBR,Q294618,direct,Samuel Doe
Sankawulo,450,1995,1996,LBR,Q888828,fuzzy,
Ruth Perry,450,1996,1997,LBR,Q461668,fuzzy,
Moses Zeh Blah,450,2003,2003,LBR,Q561542,fuzzy,
Johnson Sirleaf,450,2006,2015,LBR,Q43179,fuzzy,
"Margai,M",451,1961,1964,SIE,Q879302,direct,Milton Margai
"Margai, A",451,1964,1967,SIE,Q359490,direct,Albert Margai
Stevens,451,1968,1985,SIE,Q515657,direct,Siaka Stevens
Momoh,451,1985,1992,SIE,Q887812,direct,Joseph Saidu Momoh
Kabbah,451,1996,1997,SIE,Q336297,direct,Ahmad Tejan Kabbah
Koroma,451,1997,1998,SIE,Q888792,direct,Johnny Paul Koroma
Kabbah,451,1998,2007,SIE,Q336297,direct,Ahmad Tejan Kabbah
Nkrumah,452,1952,1966,GHA,Q8620,direct,Kwame Nkrumah
Ankrah,452,1966,1969,GHA,Q356728,direct,Joseph Arthur Ankrah
Afrifa,452,1969,1969,GHA,Q424377,direct,Akwasi Afrifa
Acheampong,452,1972,1978,GHA,Q472593,direct,Ignatius Kutu Acheampong
Akuffo,452,1978,1979,GHA,Q718234,direct,Fred Akuffo
Rawlings,452,1979,1979,GHA,Q51002,direct,Jerry Rawlings
Limann,452,1979,1981,GHA,Q50997,direct,Hilla Limann
Rawlings,452,1981,2001,GHA,Q51002,direct,Jerry Rawlings
John Agyekum Kufuor,452,2001,2009,GHA,Q51005,direct,John Kufuor
John Mahama,452,2012,2015,GHA,Q50678,fuzzy,
Grunitzky,461,1963,1967,TOG,Q561303,fuzzy,
Faure Gnassingbe,461,2005,2005,TOG,Q4414,fuzzy,
Bonfoh,461,2005,2005,TOG,Q305669,fuzzy,
Faure Gnassingbe,461,2005,2015,TOG,Q4414,fuzzy,
Ahidjo,471,1960,1982,CAO,Q298718,direct,Ahmadou Ahidjo
Biya,471,1982,2015,CAO,Q57272,direct,Paul Biya
Balewa,475,1960,1966,NIG,Q335684,direct,Abubakar Tafawa Balewa
Gowon,475,1966,1975,NIG,Q354695,direct,Yakubu Gowon
Ramat Mohammed,475,1975,1976,NIG,Q373628,redirect,Murtala Mohammed
Obasanjo,475,1976,1979,NIG,Q202006,direct,Olusegun Obasanjo
Buhari,475,1983,1985,NIG,Q361567,direct,Muhammadu Buhari
Babangida,475,1985,1993,NIG,Q333415,direct,Ibrahim Babangida
Shonekan,475,1993,1993,NIG,Q471351,fuzzy,
Abacha,475,1993,1998,NIG,Q207942,direct,Sani Abacha
Abubakar,475,1998,1999,NIG,Q262346,direct,Abdulsalami Abubakar
Obasanjo,475,1999,2007,NIG,Q202006,direct,Olusegun Obasanjo
Yar'Adua,475,2007,2010,NIG,Q111149753,fuzzy,
Goodluck Jonathan,475,2010,2015,NIG,Q57380,fuzzy,
Bongo,481,1967,2009,GAB,Q172083,direct,Omar Bongo
Rose Francine Rogombe,481,2009,2009,GAB,Q270645,fuzzy,
Ali Bongo Ondimba,481,2009,2015,GAB,Q57521,fuzzy,
Dacko,482,1960,1966,CEN,Q310860,fuzzy,
Dacko,482,1979,1981,CEN,Q310860,fuzzy,
Francois Bozize,482,2003,2013,CEN,Q57452,fuzzy,
Catherine Samba-Panza,482,2014,2015,CEN,Q15633683,fuzzy,
Oueddei,483,1979,1982,CHA,Q548636,direct,Goukouni Oueddei
Ngouabi,484,1969,1977,CON,Q454025,fuzzy,
Nguesso,484,1979,1992,CON,Q57418,fuzzy,
Lissouba,484,1992,1997,CON,Q379725,fuzzy,
Nguesso,484,1997,2015,CON,Q57418,fuzzy,
Lumumba,490,1960,1960,DRC,Q161672,direct,Patrice Lumumba
Mobutu,490,1960,1960,DRC,Q164535,direct,Mobutu Sese Seko
Kasavubu,490,1960,1965,DRC,Q206048,fuzzy,
Mobutu,490,1965,1997,DRC,Q164535,direct,Mobutu Sese Seko
Joseph Kabila,490,2001,2015,DRC,Q57416,fuzzy,
Obote,500,1962,1971,UGA,Q210069,direct,Milton Obote
Yusuf Lule,500,1979,1979,UGA,Q452024,fuzzy,
Paulo Muwanga,500,1980,1980,UGA,Q497412,direct,Paulo Muwanga
Obote,500,1980,1985,UGA,Q210069,direct,Milton Obote
Museveni,500,1986,2015,UGA,Q57274,fuzzy,
Kenyatta,501,1963,1978,KEN,Q173563,direct,Jomo Kenyatta
Moi,501,1978,2002,KEN,Q193492,direct,Daniel arap Moi
Mwai Kibaki,501,2002,2013,KEN,Q57291,fuzzy,
Uhuru Kenyatta,501,2013,2015,KEN,Q196070,fuzzy,
Nyerere,510,1961,1985,TAZ,Q186525,direct,Julius Nyerere
Mwinyi,510,1985,1995,TAZ,Q361581,direct,Ali Hassan Mwinyi
Mkapa,510,1995,2005,TAZ,Q320156,fuzzy,
Kikwete,510,2005,2015,TAZ,Q57488,fuzzy,
John Magufuli,510,2015,2015,TAZ,Q5018756,fuzzy,
Mwambutsa,516,1962,1966,BUI,Q627267,fuzzy,
Ntare,516,1966,1966,BUI,Q627261,fuzzy,
Micombero,516,1966,1976,BUI,Q282359,direct,Michel Micombero
Buyoya,516,1987,1993,BUI,Q380916,fuzzy,
Ndadaye,516,1993,1993,BUI,Q457201,direct,Melchior Ndadaye
Buyoya,516,1996,2003,BUI,Q380916,fuzzy,
Ndayizeye,516,2003,2005,BUI,Q358332,direct,Domitien Ndayizeye
Nkurunziza,516,2005,2015,BUI,Q57343,fuzzy,
Kayibanda,517,1961,1973,RWA,Q557995,fuzzy,
Sindikubwabo,517,1994,1994,RWA,Q888967,fuzzy,
Paul Kagame,517,1994,2015,RWA,Q1231345,direct,Paul Kagame
Osman Daar,520,1960,1967,SOM,Q157197,redirect,Aden Abdullah Osman Daar
Shermarke,520,1967,1969,SOM,Q308215,redirect,Abdirashid Ali Shermarke
Siad Barre,520,1969,1991,SOM,Q209828,direct,Siad Barre
Hassan Sheikh Mohamud,520,2012,2015,SOM,Q319153,fuzzy,
Gouled Aptidon,522,1977,1999,DJI,Q297667,direct,Hassan Gouled Aptidon
Guelleh,522,1999,2015,DJI,Q57390,fuzzy,
Gebre Kidan,530,1991,1991,ETH,Q262589,fuzzy,
Meles Zenawi,530,1991,2012,ETH,Q161184,fuzzy,
Neto,540,1975,1979,ANG,Q181665,direct,Agostinho Neto
Machel,541,1975,1986,MZM,Q219918,direct,Samora Machel
Chissano,541,1986,2005,MZM,Q208355,fuzzy,
Guebuza,541,2005,2015,MZM,Q57392,fuzzy,
Filipe Nyusi,541,2015,2015,MZM,Q5448556,fuzzy,
Kaunda,551,1964,1991,ZAM,Q105480,direct,Kenneth Kaunda
Chiluba,551,1991,2002,ZAM,Q297057,direct,Frederick Chiluba
Levy Mwanawasa,551,2002,2008,ZAM,Q212058,direct,Levy Mwanawasa
Edgar Lungu,551,2015,2015,ZAM,Q18352991,fuzzy,
Smith,552,1965,1979,ZIM,Q313424,direct,Ian Smith
Muzorewa,552,1979,1979,ZIM,Q318479,fuzzy,
Mugabe,552,1980,2015,ZIM,Q10707,direct,Robert Mugabe
Banda,553,1964,1994,MAW,Q184945,direct,Hastings Banda
Muluzi,553,1994,2004,MAW,Q317107,fuzzy,
Bingu wa Mutharika,553,2004,2012,MAW,Q181586,fuzzy,
Joyce Hilda Banda,553,2012,2014,MAW,Q57388,fuzzy,
Peter Mutharika,553,2014,2015,MAW,Q7176020,fuzzy,
Strijdom,560,1954,1958,SAF,Q359536,fuzzy,
Swart,560,1958,1958,SAF,Q380398,redirect,Charles Robberts Swart
Verwoerd,560,1958,1966,SAF,Q297000,fuzzy,
Vorster,560,1966,1978,SAF,Q313903,redirect,B. J. Vorster
Botha,560,1978,1989,SAF,Q212286,redirect,Pieter Willem Botha
Heunis,560,1989,1989,SAF,Q1077326,direct,Chris Heunis
Botha,560,1989,1989,SAF,Q212286,redirect,Pieter Willem Botha
deKlerk,560,1989,1994,SAF,Q151813,redirect,Frederik Willem de Klerk
Mandela,560,1994,1999,SAF,Q8023,direct,Nelson Mandela
Mbeki,560,1999,2008,SAF,Q101547,direct,Thabo Mbeki
Motlanthe,560,2008,2009,SAF,Q152327,fuzzy,
Nujoma,565,1990,2005,NAM,Q154104,direct,Sam Nujoma
Pohamba,565,2005,2015,NAM,Q57469,fuzzy,
Hage Geingob,565,2015,2015,NAM,Q1568274,fuzzy,
Jonathan,570,1966,1986,LES,Q1347953,direct,Leabua Jonathan
Lekhanya,570,1986,1991,LES,Q1397999,fuzzy,
Letsie III,570,1994,1994,LES,Q57537,fuzzy,
Mosisili,570,1998,2012,LES,Q57732,direct,Pakalitha Mosisili
Thabane,570,2012,2015,LES,Q983971,fuzzy,
Khama,571,1966,1980,BOT,Q219962,direct,Seretse Khama
Masire,571,1980,1998,BOT,Q310574,direct,Quett Masire
Mogae,571,1998,2008,BOT,Q193238,direct,Festus Mogae
Ian Khama,571,2008,2015,BOT,Q57449,fuzzy,
Dzeliwe Shongwe,572,1982,1983,SWA,Q273259,fuzzy,
Mswati,572,1986,2015,SWA,Q57340,fuzzy,
Ramanantsoa,580,1972,1975,MAG,Q365387,fuzzy,
Gilles Andriamahazo,580,1975,1975,MAG,Q878859,fuzzy,
Ratsiraka,580,1975,1993,MAG,Q315953,fuzzy,
Zafy,580,1993,1996,MAG,Q559672,fuzzy,
Ratsiraka,580,1997,2002,MAG,Q315953,fuzzy,
Marc Ravalomanana,580,2002,2009,MAG,Q155554,direct,Marc Ravalomanana
Rajoelina,580,2009,2014,MAG,Q57363,fuzzy,
Abdallah,581,1975,1975,COM,Q401076,direct,Ahmed Abdallah
Ramgoolam,590,1968,1982,MAS,Q2166580,direct,Seewoosagur Ramgoolam
Anerood Jugnauth,590,1982,1995,MAS,Q217566,direct,Anerood Jugnauth
Anerood Jugnauth,590,2000,2003,MAS,Q217566,direct,Anerood Jugnauth
Navin Ramgoolam,590,2005,2014,MAS,Q57836,fuzzy,
Mohammed V,600,1956,1961,MOR,Q193874,direct,Mohammed V of Morocco
Hassan II,600,1961,1999,MOR,Q69103,direct,Hassan II of Morocco
Muhammad VI,600,1999,2015,MOR,Q57553,fuzzy,
Ben Khedda,615,1962,1962,ALG,Q2679301,direct,Benyoucef Benkhedda
Boumedienne,615,1965,1978,ALG,Q310855,fuzzy,
Bitat,615,1978,1979,ALG,Q327414,direct,Rabah Bitat
Benjedid,615,1979,1992,ALG,Q314688,direct,Chadli Bendjedid
Boudiaf,615,1992,1992,ALG,Q314691,fuzzy,
Zeroual,615,1994,1999,ALG,Q327127,fuzzy,
